"","sp500","nasdaq","s.fin","s.tech","s.hc","s.energy","s.ind","s.cd","s.cs","s.util","s.mat","s.bio"
"2008-05-08",3827550000,6485600,166583200,7467100,2157500,24907300,6928200,3711600,1377100,3682800,13220200,114600
"2008-05-09",3518620000,4179300,142069200,2924900,1469200,19915000,4176400,3412600,2844500,3036200,12076000,266700
"2008-05-12",3370630000,2547500,83396500,1651100,1082200,18457700,3550200,1877200,1344100,2575000,9498400,221100
"2008-05-13",4018590000,2257300,92714100,5497000,1293100,19697000,3191600,2492400,2549400,2980300,10411500,213000
"2008-05-14",3979370000,2398800,80104400,4226000,1528800,24846300,2979500,3688300,3384800,3849600,10426300,291300
"2008-05-15",3836480000,2130100,90097000,2793000,1213200,28653500,3619100,5420600,984300,3663100,8954700,298800
"2008-05-16",3842590000,1502700,64561700,3631700,1381600,27548800,2605700,3569100,2458000,2973000,11230400,97500
"2008-05-19",3683970000,4043300,85711900,4212200,2174900,22752000,6566900,3690100,2167500,2379900,12696700,77700
"2008-05-20",3854320000,3874100,97189400,3115200,1653400,25701900,4368400,5388600,3690100,4699100,8863500,153900
"2008-05-21",4517990000,5354200,133429000,4220300,2029200,45072200,8489100,5555900,2266800,4104800,11077900,631800
"2008-05-22",3955960000,4393100,81729000,2748400,995300,37354600,6620600,3133000,1783500,3068600,10172600,243300
"2008-05-23",3516380000,4932000,89026000,3024300,1328900,24997000,4037400,3667600,2510500,1783300,13409400,194400
"2008-05-27",3588860000,3416800,83667600,2569200,1597700,25727700,3903600,5156300,1573500,2517700,9543800,33300
"2008-05-28",3927240000,2748000,139054200,5004100,1394000,26214200,5651000,3306600,1392300,2702600,10131600,189600
"2008-05-29",3894440000,2305800,96678600,2510900,2288500,35941900,7581300,3740600,3419300,2879600,12773100,225000
"2008-05-30",3845630000,3780000,79018200,2739400,1456800,26786300,4003200,2896900,2311100,3463000,8302900,220800
"2008-06-02",3714320000,3745600,104662500,3548800,1672100,25311900,5004300,4211700,2447200,5492300,8872900,185400
"2008-06-03",4396380000,4199200,151496800,5067500,2668600,38843900,5398300,4276100,2637800,4517100,14638500,592200
"2008-06-04",4338640000,3509100,169059300,4943800,2460900,31625300,4411600,6594500,2180200,4386700,13008300,85500
"2008-06-05",4350790000,4120000,138013000,3950700,1914400,34914300,6498400,3748600,1662500,2801200,13166400,1706100
"2008-06-06",4771660000,3693200,192620200,6360500,2634700,46825000,11162200,5663100,2102100,4642000,10723700,761100
"2008-06-09",4404570000,2519100,210144300,4081300,3173100,26784900,7946800,5514400,2487000,3895100,9185900,2282100
"2008-06-10",4635070000,3319700,217348900,4283900,1943000,27994900,4217900,4969300,3032700,3824000,17576700,627900
"2008-06-11",4779980000,3821200,214532000,5722300,2322200,30961400,6568200,6344400,6986300,4694300,11183500,290400
"2008-06-12",4734240000,3579900,245193100,5025500,3137100,35288000,7316900,6935900,2360800,3869400,9424700,647400
"2008-06-13",4080420000,2439500,157429500,3231400,1882700,16595800,8574500,2829500,4316400,9768600,9747000,44700
"2008-06-16",3706940000,2307600,152712500,2463600,1597400,16241900,5626000,4283300,6055500,3087200,5869400,97200
"2008-06-17",3801960000,2042900,150943900,4050000,1496300,20172000,3678400,6054600,3046800,4147100,5456600,86100
"2008-06-18",4573570000,2135100,185416600,4429000,2382300,21458200,6784300,6427300,3251800,3912200,8663500,124200
"2008-06-19",4811670000,1728400,204997500,6326300,1779800,40450700,6266300,3948900,2159400,4454800,6676000,882600
"2008-06-20",5324900000,2461800,222510100,6458100,2037900,32726600,5842300,7437300,5297400,7005700,10822400,631200
"2008-06-23",4186370000,2414500,150520800,4179200,1359200,32882100,3460300,4620700,1515300,4405300,5669700,456900
"2008-06-24",4705050000,3281600,249743900,5485600,1782800,33138000,6387500,4220200,2343100,4614200,14636800,169200
"2008-06-25",4825640000,2828300,270571800,5132100,2678900,40033800,8762400,6663400,4769100,5109500,10519800,90300
"2008-06-26",5231280000,3317700,177928900,5348700,2324700,32077100,10217700,4583300,2229000,5622400,9319700,225900
"2008-06-27",6208260000,4191800,179566200,9405000,2161800,23467800,9277200,9620200,3321100,6410300,8066400,51900
"2008-06-30",5032330000,4648100,180520900,4765400,2441700,29916000,5948100,4844800,2226600,7282900,12152700,115200
"2008-07-01",5846290000,6152600,292065500,9249200,10508300,31946500,12149100,8133700,7943400,11974500,14847900,248400
"2008-07-02",5276090000,3097400,180299300,6501500,2258900,36697700,12311600,15300200,2999000,4326800,16892400,666900
"2008-07-03",3247590000,1786000,102694500,4289200,2497700,32590900,5800600,3366100,1730600,5440600,13904500,280800
"2008-07-07",5265420000,3673200,234991700,6852800,3817000,39520700,7051500,5676500,3255100,6528300,11276000,289200
"2008-07-08",6034110000,5689500,305913800,6674100,4317200,49906400,12327600,4820600,6431100,9724400,14347400,1812600
"2008-07-09",5.181e+09,4139700,277344600,5942900,6234200,32329800,9153300,6395900,3225300,4823400,18213800,864900
"2008-07-10",5840430000,4114600,287294200,6520300,5928500,37616600,9592300,4946700,4386200,5612900,13753100,554100
"2008-07-11",6742200000,4106300,383739700,13322600,4324100,33978900,9542500,7846800,4209700,9236100,10344700,1296000
"2008-07-14",5434860000,5624700,291271300,11831200,3422000,21595500,7401600,4425800,3935500,6649500,9769500,302400
"2008-07-15",7363640000,6061100,577518200,11118900,5179000,32629700,9592400,6723900,8632500,7711700,15286900,751200
"2008-07-16",6738630000,5094900,448019700,6859400,8097800,49362100,9211200,7217100,3588800,7050100,15578200,894900
"2008-07-17",7365210000,5158200,649620900,13009700,3847500,53497500,10626300,10352500,5109800,11657700,18899400,1113600
"2008-07-18",5653280000,3162900,316816900,9669200,2858800,39610000,7400600,7046300,2963700,6553900,21099500,1121100
"2008-07-21",4630640000,3435600,260827400,4975100,4387800,34083100,7538200,5850700,3792900,9143100,11015500,973800
"2008-07-22",6180230000,4883000,407857500,7772800,3187400,48906200,6980700,6624900,1357800,5250500,11902900,1403400
"2008-07-23",6705830000,4345100,438753100,8194700,3801600,55642100,8744400,9130400,3088500,8453300,11199800,3537000
"2008-07-24",6127980000,3511900,335380700,6340000,5173600,52462200,9031900,8903300,3320100,6411700,11935800,772800
"2008-07-25",4672560000,3079000,241407300,10109400,5849800,37195800,8323800,9376800,5232900,6317700,9401700,888000
"2008-07-28",4282960000,3126400,209227000,5131600,2641000,24043800,7177100,5886500,1859900,5199500,6131300,2031300
"2008-07-29",5414240000,3337400,307696200,4322200,3637900,28983900,6799400,11027900,2977700,4117600,8486000,1716600
"2008-07-30",5631330000,3048300,334457700,7561200,5642900,44432600,9428100,7027900,3801500,5313900,9871800,1659000
"2008-07-31",5346050000,1961900,208456500,5926000,4035000,33170500,17874300,7152500,5016200,5411900,15752300,2361000
"2008-08-01",4684870000,2779700,233089600,8789600,4288200,29769900,8e+06,8555400,4155300,9852800,9062000,3158700
"2008-08-04",4562280000,3288300,173696900,4525600,3127000,48179800,7557100,6483800,2253600,6958200,18181500,1088100
"2008-08-05",1219310000,4391300,222832600,4868900,3273800,43906200,9724900,8630700,3395900,8714700,13619100,1495200
"2008-08-06",4873420000,8611000,174735700,6127800,9167000,38526500,6915000,5039800,5259100,5702400,8194300,1671000
"2008-08-07",5319380000,6357000,232640600,8909000,3833600,33703500,10655800,8089500,3992700,5453600,11978800,1107000
"2008-08-08",4966810000,4973200,217414500,5891000,6504700,37646200,11684800,14209200,3085300,5669800,11668200,998700
"2008-08-11",5067310000,4113300,198637400,5607200,2849600,33375900,12795800,10754300,2905000,4655700,9812800,1626300
"2008-08-12",4711290000,4796200,235358500,4812700,3521100,31029100,7227600,7795300,3044200,5624900,10936900,1329900
"2008-08-13",4787600000,2654700,282142400,4792900,5973800,44127300,11052000,9726800,4616900,3918600,24241900,1644300
"2008-08-14",4.064e+09,2779100,159833700,6264000,3494100,36174900,9603900,6495600,4390900,4344800,10545400,1723200
"2008-08-15",4041820000,2723700,164707300,4686300,3045500,41753700,6119200,6855800,1962000,2781300,8701600,773100
"2008-08-18",3829290000,2633300,199085900,4839300,2169700,32068400,6234800,7870800,2579900,2967200,6010200,816900
"2008-08-19",4159760000,3423600,214356400,5432400,7032300,44235600,6894300,7651400,2744300,2133500,9172200,1459800
"2008-08-20",4555030000,2956600,210530700,5539700,4168500,46728100,9990500,5454400,2201400,3486500,9197900,1039200
"2008-08-21",4032590000,3226700,162472600,4061200,2710300,33173100,8100500,5325200,1888600,4112500,7358200,734100
"2008-08-22",3741070000,2416700,181439600,2932100,3494500,24973700,6478600,3623400,2801800,2653300,7178800,513300
"2008-08-25",3420600000,2008400,118690800,6686300,2075000,22391800,5858300,9003300,3148400,3464100,9723700,615600
"2008-08-26",3587570000,2748200,130458100,6112700,1344500,26955300,7859300,4056200,1495600,2545900,5805400,450900
"2008-08-27",3499610000,2678300,109374800,3789800,2616300,24056500,5629600,3233900,1247800,2623100,4085300,976800
"2008-08-28",3854280000,2951800,190652700,5322700,1667100,28420200,8421000,3596600,1487500,1799800,5173500,441900
"2008-08-29",3288120000,2244300,171501300,8922400,2408300,22382900,3775700,2975000,1667000,2206000,3952800,284100
"2008-09-02",4783560000,2919700,200156500,5718800,5185200,50456700,10442600,9147700,3601000,6224100,8809900,2605200
"2008-09-03",5056980000,2830700,178467700,6646400,3009000,50175200,9961700,7138000,2136900,3440700,10352300,678900
"2008-09-04",5212500000,3169700,226208000,8902500,11658100,54046100,11476900,7527600,3137300,4199600,15271600,967200
"2008-09-05",5017080000,2911800,294009900,7203100,5803200,50711200,12674700,9136500,8917700,6154500,18445200,1153500
"2008-09-08",7351340000,3570700,518173600,12666800,7640400,50213800,15606400,11716900,4121100,6507200,15491200,2101800
"2008-09-09",7380630000,3970100,407839900,8163200,3408600,65055100,11434900,10073400,4849300,8899300,15861400,2004600
"2008-09-10",6543440000,3403000,310143300,7447300,5239000,60377000,9732300,7933300,5140700,4254300,16429800,799200
"2008-09-11",6869250000,3249800,411572700,9756300,3970400,51975600,8516300,10967500,4499000,8394400,15365700,773400
"2008-09-12",6273260000,2577800,313952100,7184100,3869100,53379000,10793300,8688900,3219200,6197100,13207700,534300
"2008-09-15",8279510000,3406600,555804900,20197700,6297700,54448900,16085600,11228300,7420400,8370100,13302500,545100
"2008-09-16",9459830000,5758100,594428700,27426300,7324900,61230000,18499300,10370900,7878800,18645300,20735900,750300
"2008-09-17",9431870000,8313700,625337700,22131600,6844100,66505200,15598500,9591400,8617900,15349300,18763200,1049700
"2008-09-18",10082690000,10603500,1050592200,22785900,14902300,63255500,30949600,17208700,11022500,17986000,25874500,1514700
"2008-09-19",9387170000,5137500,519107000,11215600,4821000,46144200,15910100,9551800,6403500,9355700,16148400,476700
"2008-09-22",5368130000,2758300,231788500,8852200,4334300,34264800,5309400,8107100,5088600,5658300,10632200,436500
"2008-09-23",5185730000,2452300,213533600,16727200,3316600,32193100,12016100,6659400,3901800,3520800,8761900,367500
"2008-09-24",4820360000,2389000,168258300,7084300,4029600,29585200,8931100,4654000,4509800,3306600,6640400,672600
"2008-09-25",5877640000,2508900,196826500,14856900,9256200,27722200,11687900,6353300,7749500,4199500,7455700,839700
"2008-09-26",5383610000,2390200,252887000,16681300,5521100,34620700,14531000,4583200,2529400,3207700,8788500,2287500
"2008-09-29",7305060000,2782000,422434100,20520800,8689400,45861700,16947400,10763400,9894400,7997900,17620500,1836300
"2008-09-30",4937680000,2707000,212701000,10347300,3309800,33200300,10050300,5225300,2583600,3359200,8561800,857400
"2008-10-01",5782130000,2216500,235842800,13473700,6053600,46615500,21014600,9123600,8520100,6724500,14639500,1244700
"2008-10-02",6285640000,1709400,213501900,10857900,6353400,46997100,14679300,7379700,5136400,5241300,12581300,633600
"2008-10-03",6716120000,2046300,322736100,13053800,6814400,48539600,18081900,7869500,5895100,8126700,16770600,853500
