"","djia","nasdaq","sp500","s.bio","s.cd","s.cs","s.energy","s.fin","s.hc","s.ind","s.mat","s.tech","s.util","gold.p","oil","usd","vix","brazil.us","canada.us","china.us","jap.us","mexico.us","skorea.us","swiss.us","us.euro","fedfunds","umsent","homep","unemply","bondhy","ust1","ust2","ust3","ust5","ust7","ust10","ust30","autosale"
"08-05",-0.0179153275612338,-0.11119548241656,0.00192987411352631,0.0485319758128729,-0.00247289598634303,0.0173484652816396,0.0125198401120251,-0.0484825650631225,0.0182454110082369,0.00931231482886411,0.0115240794853042,0.0308456046976375,0.0344776337954917,0.00827748411072946,0.028514196873535,-0.00906875053044264,-0.0843906341942335,-0.0325674929639692,-0.0210093852865522,-0.00860837453660016,0.0151916168626037,-0.0196051815598915,-0.0115999367406773,-0.00802449854294559,0.00975176445052919,-0.141078598259905,-0.0457596171494668,-0.0018064258625275,0.0769610411361284,0.101719316929308,0.168820869575052,0.178248231406319,0.18753960814172,0.103598400664427,0.0812476722728798,0.0529224014543425,0.0354019270509158,-0.0419569896500938
"08-06",-0.107514843508512,-0.277175213520675,-0.0898835540015048,-0.0283688632768518,-0.122555316500601,-0.05868356193435,0.0310667636909826,-0.191758577325542,-0.0432308541538066,-0.128123327788712,-0.0599234838784812,-0.0983559505551033,-0.00749083920286577,0.0587836479236545,0.0944174660740214,0.00301466734313661,0.295085891981875,-0.0190706776634594,0.0245502564986402,-0.0117255367230571,0.00670984892315797,-0.00247182968458757,0.0176364615629789,-0.0217189068451794,0.0120098543312454,0.0100503358535015,-0.0585365024525728,-0.00287787236216753,0.0363676441708748,0.118669953674611,0.161061557367105,0.122759295642612,0.135388403371735,0.102499283376794,0.0751396445860912,0.0551518200750801,0.0193762789631389,-0.00770360831957178
"08-07",0.0024647991207868,0.0449264990478296,-0.00990829654130966,0.183160314191771,0.00175402358730685,0.0240083527346962,-0.173320759291495,0.0654333339863576,0.0438259873470579,0.0079074479965284,-0.0328858382870641,-0.0247469779887988,-0.0665388133617335,-0.0224972220269358,-0.119705073070737,0.0108431915452588,-0.0430862121556995,-0.0180356098993639,0.00743425120130293,-0.00296396014883893,0.0180151416196808,-0.0264544879433082,-0.0343035140481906,0.027743309478732,-0.0101478357509472,0.00498754151103897,0.0816780310142673,-0.00494164043301765,0.0350913198112702,-0.134770480364021,-0.0595920972022457,-0.0749414212921187,-0.0706175672139533,-0.0559792677419014,-0.0354743881936599,-0.0221957323917843,-0.0259193775520746,0.0137760834131373
"08-08",0.014443415317719,0.163112777455623,0.0121167592163993,-0.0728302198446077,0.0667705882067908,0.026649373046896,0.00335446363899464,-0.00975661228451936,0.0204465817208627,0.0270520860545796,-0.0157247519517711,0.0177387563231641,-0.0110904878084332,-0.0864134696474528,-0.071948257708361,0.0463427277702204,-0.105166792294183,0.0430570428306185,0.0354239604263959,-0.00199063297584439,0.00544306892993301,0.025823435278013,0.0738254663251603,0.0492939665261733,-0.0608291138249181,-0.00498754151103894,0.0289875368732522,-0.00869641839387075,0.0504308536268919,-0.294619213829389,-0.0448505661653516,-0.0601383587385334,-0.0610602567612463,-0.0496996685522724,-0.0396652563924315,-0.0303820836881228,-0.0154358081298394,-0.0964815225920977
"08-09",-0.0619009317932806,-0.0670498065128697,-0.0951807653357315,-0.0675174494419299,-0.0855820727272793,-0.0125914343986602,-0.161705558489272,-0.0645671750144446,-0.0772163546688506,-0.128648936253163,-0.16815244222336,-0.132937210149622,-0.116337576454733,0.0698293416319174,-0.137557536995873,0.0155447037433491,0.645796657575773,0.162044781998432,-0.00320331911376904,-0.00518543074932002,-0.0256268974587149,0.0635486655574329,0.102297979638377,0.0153100973199441,-0.0409100525704512,-0.0998203352822109,0.109637072425087,-0.0145180650642631,0,-0.0741079721537218,-0.132221634742459,-0.151399646455368,-0.151684587332065,-0.0864325057723075,-0.0626135927279868,-0.0527826995779192,-0.052463569535741,-0.0902371358680795
"08-10",-0.151525869714154,0.0599893704278463,-0.185636473585464,-0.117014125390189,-0.194002174603586,-0.134774138946429,-0.208247175183811,-0.247443480707598,-0.121951416875557,-0.201465060432332,-0.253540950677058,-0.175793579306387,-0.139265646065396,-0.208068236423537,-0.39116858656905,0.0834170217242507,0.418997569293557,0.099203760323457,0.137416447133832,0.00717606372516431,-0.0750523484634022,0.146594360540081,0.0573472195065215,0.0420045999983861,-0.104642705657335,-0.623786052762443,-0.199249231114774,-0.0171540622038344,0.0635134057223259,-0.129256690454949,-0.296446370445369,-0.256133714716855,-0.220990697953109,-0.0534886849509861,-0.018634079544893,0.0320027310861737,-0.023697791429823,-0.354156549235338
"08-11",-0.0546537494817723,-0.411955831855491,-0.0777983575748146,-0.0860427942213202,-0.114687386280888,-0.00207531426093836,-0.0220308771992917,-0.204325820958036,-0.0652407345637577,-0.0857844915535881,-0.113020214383153,-0.0878306796130483,0.0410019249404961,0.110358301023833,-0.209833116859513,0.0062944769578788,-0.0800983668169565,0.083291166789933,0.0164780627030139,-0.00196133023457077,-0.029113236075228,0.0525125429309538,0.138995887096601,0.0416272234115156,0.000945775606438641,-0.911149332373736,-0.0407496591735565,-0.0196230892211559,0.0451204352804696,-0.00894193737566139,-0.282998223139354,-0.285613819387722,-0.208466836898277,-0.17574979163072,-0.123284031846731,-0.0763313181934043,-0.0416216746908194,-0.272001688781717
"08-12",-0.00598112706793423,0.13915523155256,0.0077911469350073,0.0886023720224535,0.058936830732236,0.000159564967919954,-0.0460351691439269,0.00369970156459775,0.0694336111504583,0.022994737604695,-0.005774593270386,0.0157733168531501,-0.0243027479864139,0.0613835802727869,-0.213410237269935,-0.0475464281496514,-0.323531725345478,0.00242403373824997,-0.00975617494536469,-0.000424973811889898,-0.0501581641940846,0.0324765886779082,-0.151203166073302,-0.130845788303658,0.0921253723609849,-0.890972923889865,0.0832369330128728,-0.0228436575934536,0.0709517359722844,-0.137817725805208,-0.78100853635128,-0.389071298332488,-0.344451002353018,-0.409841482707963,-0.400160055878471,-0.37753033077661,-0.331982331348361,-0.183145994099946
"09-01",-0.0925161254635318,-0.124380913566358,-0.0895498794569227,-0.0159794340108404,-0.112235070485096,-0.0747847815797957,-0.0179539024285967,-0.303785604336829,-0.0121258422468202,-0.127813778516049,-0.0767498515070596,-0.0485307460863376,-0.00172405855536059,0.0600123977233011,-0.0665135644225572,0.0410190432261725,0.114221144090023,0,0.0101606238891995,0.00244479212953044,-0.0106301521425506,0.0355798225600893,0.0893857350500919,0.0843218582305556,-0.0834971911376469,-0.0645385211375712,0.0181373479771185,-0.0210720982552922,0.0662493855412007,-0.104978763410396,-0.107630664192365,-0.0122700925918142,0.0545589842504342,0.0512932943875505,0.0465200156348929,0.040491361354737,0.086720974780532,0.0487923549922927
"09-02",-0.124689056327227,-0.0430777565056183,-0.116456513144467,-0.131232820343022,-0.0951545932093302,-0.0842651940774925,-0.131706266067153,-0.195393365296899,-0.132279629496659,-0.186698090752017,-0.0836496395888935,-0.0388938292131158,-0.133827137666227,0.027119395908054,0.0563726324465079,0.0279501878544948,0.033120693807905,0.0264520542373023,0.027519184227983,4.38638174751561e-05,0.0843918966008935,0.051335154950023,0.105012629065346,0.00515376505810097,-0.0111522399856818,0.382992252256106,-0.0834526543726358,-0.0117373899288045,0.0621317811070064,-0.147809504488811,0.34294475112683,0.190518323998133,0.192593107115784,0.15593480162076,0.14981227822866,0.130053128248198,0.137119197948126,0.0206587211935273
"09-03",0.0744612636990571,-0.0652409787311804,0.0819526932177633,0.0396056157412272,0.119538163981365,0.0416064217443282,0.0369510779128611,0.157719004457427,0.0583235089226402,0.0844995831115611,0.142883458792726,0.105988892112339,0.0188444892775697,-0.0271193959080541,0.117204033286437,-0.0224509301566391,-0.0488548911832738,-0.0317840130298183,-0.00821619411044431,-0.000965448716048406,0.0143229631237962,-0.0599537837820922,-0.110607963941009,-0.024018148522837,0.0462220145735271,-0.200670695462151,0.0176060885750493,-0.00749260707131165,0.0470675108579857,-0.132267968577751,0.0317486983145803,-0.0523679855173159,-0.0447836026269734,-0.0271019297777913,0.0508584172334912,-0.0175751448215076,0.0138314791484618,0.124811606425332
"09-04",0.0709175289594329,-0.0180368848892093,0.0897722188962051,-0.0585567123722696,0.169946718139445,0.0417688123017447,0.0752848259644092,0.197156351600468,-0.00124018892496329,0.166093829870049,0.144780514864747,0.099259900209042,0.011673456508444,-0.0326446691412758,0.0142016588281648,-0.0208832877224663,-0.190054140240145,-0.0573808772782329,-0.0543625387276672,-0.00218300711560232,-0.00394119048882627,-0.0292048888031064,-0.0719745872430482,0.000614115911742589,-0.00128277701046214,-0.182321556793955,0.12762392549383,0.00294390443218546,0.0339015516756814,-0.123481056771021,-0.151549898127201,0,0.00760459938521921,0.0217399866364058,0.0204506104712908,0.0382655380789538,0.0324352757531537,0.162654498920217
"09-05",0.039866214038681,0.0932753513067421,0.0517205770319347,0.0364387367913445,-0.00732621378207084,0.0496556077120893,0.121223569370346,0.130847971808517,0.0660110381900999,0.0329973307137942,0.0567900985806032,0.0229241815416471,0.0349714314978817,0.0892585689465346,0.275342096216205,-0.0679548654396759,-0.232778863297882,-0.0989163797290252,-0.085831830939995,0.00143633963341709,-0.0330429937906968,-0.0458887906753747,-0.0221703459069616,-0.0642929803327177,0.0644724513017307,0.182321556793955,0.0538246500137803,0.00832804517878472,0.0434851119397389,0.0901018346971866,-0.0953101798043249,0,0.0516720105443209,0.135545491996224,0.128966332705769,0.115885141748305,0.117783035656384,0.0349860283791378
"09-06",-0.00629363752670918,0.00942975110254377,0.000195807358790868,0.0758560147600082,0.00253084569204168,0.0019869736913656,-0.0677314812094786,-0.0180173882806787,0.0234250655656663,-0.0171888818829464,-0.0464337112937977,0.0357498212808182,0.0523233818145519,-0.0324126648750594,0.0515797862961136,0.020273096612457,-0.0930651223031926,-0.0012712620257247,0.0592654478559028,0.000351442381710648,0.0090639782911943,-0.00091074687533848,0.019425784293934,0.0162348758040421,-0.00753218938028661,0.154150679827258,0.0301098014713704,0.0108993636085933,0.010582109330537,-0.00786373646021458,0.0198026272961797,0.238085131312409,0.23601006190746,0.240826655170276,0.181728261018616,0.122836103507775,0.066310000785953,0.0871463086480288
"09-07",0.0823014946310469,-0.00848285926235626,0.0715219492209934,0.0867481068903885,0.0906513989555328,0.0644295954131062,0.0521044456817704,0.0849870672984093,0.0576016810855225,0.0838183936321731,0.12105090794923,0.0786479749435682,0.036956585436739,-0.00479361770123641,-0.00805296270261387,-0.0357456157150902,-0.0164534035032974,-0.0522230073554235,-0.0745315158975624,0.000248863645965692,-0.0196906236123859,0.00246468984376145,-0.0411165019586965,-0.0184820677609467,0.0183050448417142,-0.271933715483642,-0.0702042586732485,0.00629468562352044,0,-0.117125357237413,-0.0606246218164349,-0.145711811181394,-0.127058878118905,-0.0967872849473381,-0.0706899444441084,-0.0439631234211162,-0.0246373043853851,0.044385890036436
"09-08",0.0398207967738263,0.00988951698806671,0.0411185356388657,-0.0169788175948453,0.051669336855166,0.0101441453857386,0.0303524676152277,0.125524865741505,0.028300221658031,0.0585532222920252,0.0367475939316184,0.0290166094663356,0.0184870615803181,0.0151016249242258,0.0487489108949475,-0.000591701011027965,-0.0457854236676786,0.00411952539357158,0.0077541235931512,-0.000278145794106149,-0.0105269726449917,0.00487354333582839,0.018322360963312,-0.0101753280416523,0.00551735170613308,0,-0.00455581653586069,-0.000557335948661031,0.0104712998672954,-0.0736529095747653,-0.0425596144187959,0.0935260580108235,0.0625203569813339,0.043744548962857,0.0220481372217624,0.00839165763624838,-0.00911168035125589,0.164332684143848
"09-09",0.0174574240643391,-0.0136825815723371,0.0269908684946949,-0.0120406084306346,0.0350510222166572,0.0345899925265674,0.0372347902174138,0.0158942840330144,0.00438730012944157,0.0447807534488157,0.0280209169835848,0.0323793165182215,0.00516935334545385,0.0517533515741998,-0.0315712769561319,-0.0187983554125544,0.0337534523950384,-0.0541354445145548,-0.0144487092653652,-0.000556523791109904,-0.0443691655253318,0.015964447849621,-0.0577067268458678,-0.0176742121613534,0.0187669368777418,-0.0645385211375712,0.112186480728226,-0.00693288692399217,0.0206192872027358,-0.0489494125175669,-0.139761942375159,-0.154150679827258,-0.108733200136466,-0.0810159437600886,-0.0610141057551462,-0.0543767708780718,-0.0420622751734524,0.00305109298027597
"09-10",4.63320224883981e-05,-0.153201371966239,-0.0199598805374463,-0.139566492344334,-0.0239463030970774,0.0144279611128814,0.0243672330729254,-0.0614204268034872,-0.0211497674523342,-0.0406792476727335,-0.0530980837606067,-0.0125368107912517,-0.0325737538855079,0.0422890826140516,0.0892795945767786,-0.00375200237110744,0.180953968420211,-0.016937997302705,0.00446803312419736,2.92984486492296e-05,0.0112229635111137,-0.0244042746526045,0.00593977138778416,-0.0132927780813705,0.00850779336286984,-0.22314355131421,-0.0402552617195947,-0.00696782810304722,0.0202027073175195,0.293517853915883,-0.0779615414697119,-0.0104712998672954,-0.0136056520557786,-0.0170216875694306,-0.0200675630508093,-0.0029455102297568,0,0.0176361859570791
"09-11",0.0630504484319468,0.0337543158107298,0.0557790770857573,0.0723156416246842,0.0649576337929546,0.0361185520634727,0.028019752713311,0.0425002486216613,0.088909642241114,0.0841404930018942,0.102288556668369,0.0538376118704101,0.0471283559111154,0.115173389140337,0.00194514747189231,-0.020155961325493,-0.224855671091624,0.00343347976789154,-0.0184661009514337,1.46489024313351e-05,-0.0496081782097181,-0.0183730692357674,-0.0150019860945752,-0.0185336535303069,0.0160681126859675,0,-0.0463851265809348,-0.00432306970045493,-0.0100503358535015,-0.0913280939052028,-0.176930708159078,-0.171850256926659,-0.100804699121966,-0.0438666821055819,-0.0136056520557786,0.00294551022975674,0.0282371701816098,0.0579835024892848
